"","business_id","stars","RestaurantsTakeOut","RestaurantsDelivery","WiFi","OutdoorSeating","RestaurantsPriceRange2","RestaurantsReservations","HasTV","garage","street","validated","lot","valet","romantic","intimate","touristy","hipster","divey","classy","trendy","upscale","casual"
"1","tCbdrRPZA0oiIYSmHG3J0w",4,"True","False","FREE","False","2","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True"
"2","aTAe3uMYBEwU0FbTMFEI5g",3.5,"True","True","FREE","True","2","False","False","False","True","False","False","False","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","qxnHt71f5BHVmzWKDTRCyA",3.5,"True","False","FREE","True","2","False","True","False","False","False","False","False","NA","NA","NA","NA","False","NA","NA","NA","NA"
"4","GyglPdfJM89if_5XSBIN7Q",4,"True","False","FREE","True","1","False","NA","NA","True","False","NA","False","False","False","False","False","False","False","False","False","False"
"5","r-hWf-bd9im5rj_l2MeofQ",4,"True","NA","FREE","True","2","NA","NA","False","False","False","True","False","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","F0n25o5lpaFJpEW8DFS8Ww",4.5,"True","False","FREE","True","1","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False"
"7","CKDU9kpeLQy56_X0urimfA",4,"True","NA","NA","False","1","NA","NA","True","False","False","False","False","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","MYainrGOUR9OGC0eXqpkuA",4,"NA","NA","NA","True","NA","NA","True","False","False","False","False","False","False","False","False","False","NA","False","False","False","False"
"9","SRHQEF2-VPS_dl1_ZDH0gA",3.5,"True","False","FREE","True","1","False","False","False","False","False","True","False","False","False","False","False","False","True","False","False","True"
"10","ORhpT5x2G4hewGQn7_oWmA",3.5,"True","True","FREE","True","2","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True"
"11","P-5Ze1LN_KqrWBhha-kJTA",4.5,"True","False","FREE","True","2","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","True"
"12","iBl91YcJwdTG6zpTJaWhNA",3,"True","False","FREE","True","1","False","True","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13","GzlroXsuFyMDv8qS2VM3kw",4,"True","False","FREE","True","2","False","True","False","True","False","True","False","False","False","False","False","False","True","False","False","True"
"14","ijXamJnJ1oVGKon_K-DYpA",4,"False","True","FREE","False","2","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"15","rIdojqgqK1IcxYAyJhsLLg",4,"NA","NA","FREE","NA","NA","NA","True","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False"
"16","rqbUAI4JfxceQRBMDrxCdw",4,"True","True","NA","NA","1","False","NA","False","True","False","False","False","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17","W4S9PIWTfRlW2lwPPunFvg",2.5,"True","NA","FREE","False","2","False","NA","False","True","False","True","False","False","False","False","False","False","False","False","False","False"
"18","pCg4oRweZQnoXo2j7_-BqQ",4.5,"NA","NA","FREE","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","w89ay2pZDTd-3cJsRlx22Q",4,"True","False","FREE","True","2","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","True"
"20","w3HSOOqJednBOYbO3fajvQ",4,"False","False","FREE","False","2","True","True","False","True","False","True","False","False","True","False","False","NA","True","False","False","False"
"21","Lcl3E29jwhK3HUYzvoA_1A",5,"True","NA","NA","NA","2","NA","NA","NA","True","False","False","False","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22","DM_Ge3Feh-4xnIrHIDg4uw",4.5,"True","False","FREE","True","NA","False","True","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False"
"23","LKR2lxcIMQXiZBtZhf1WHQ",4,"True","False","NA","True","1","False","False","False","False","False","False","False","False","False","False","NA","NA","False","False","False","False"
"24","miw4H3j5vBJvU3x-CPjtaA",4.5,"True","False","NO","True","1","False","False","False","False","False","False","False","False","False","False","False","NA","False","False","False","False"
"25","3SUhbtzb49gJX9jvitGSFQ",3.5,"True","False","FREE","True","2","False","False","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","True"
"26","SC1OR4VRY5chOZkDXvIGVw",4.5,"True","False","FREE","NA","1","False","False","False","True","False","True","False","False","False","False","False","NA","False","False","False","False"
"27","3cLBtLFiH8IRdlEy9S8RiQ",4.5,"True","True","FREE","True","2","False","False","False","False","False","True","False","False","False","False","False","False","True","True","False","True"
"28","AdUtIbv3QcdaQpv_D0duQA",5,"True","False","FREE","False","NA","False","False","False","True","False","True","False","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"29","1l-vqoiiabP4UWY5llZI_w",4.5,"True","False","NA","False","2","NA","NA","False","True","False","False","False","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30","in_z30OnPyDwh8jxWBTpNQ",3,"True","False","FREE","False","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"31","KTRhicnD-1DHJJDjTy2Y_A",3.5,"True","False","FREE","True","1","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","True"
"32","e5cE2ffPTJmK6pStlx3b_Q",4,"True","NA","FREE","True","1","False","True","False","False","False","True","False","False","False","False","False","False","False","True","False","True"
"33","PUEIDJQmT4ubVNAIpkz3Lg",4.5,"True","False","NA","True","2","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False"
"34","1gdxoCW21a-dkhHKb3PeCA",3.5,"True","False","NO","False","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
